Member ID,2-18,Total
28885345614,1.0,285
28885349743,1.0,221
28885351047,1.0,218
28885346128,1.0,192
28885355237,1.0,192
28885357877,1.0,189
28885411188,1.0,189
28885355532,1.0,187
28885353460,1.0,185
28885351003,1.0,174
28885347832,1.0,174
28885344370,1.0,171
28885363170,1.0,164
28885369349,1.0,163
28885365349,1.0,156
28885348314,1.0,156
28885352903,1.0,155
28885351022,1.0,154
28885369004,1.0,151
28885356866,1.0,151
28885521740,1.0,148
28885356045,1.0,148
28885355381,1.0,147
28885438424,1.0,145
28885384541,1.0,143
28885349390,1.0,142
28885447630,1.0,139
28885348156,1.0,139
28885362307,1.0,138
28885346223,1.0,138
28885366760,1.0,138
28885357054,1.0,137
28885373845,1.0,137
28885352714,1.0,136
28885372647,1.0,135
28885352915,1.0,132
28885351648,1.0,132
28885367841,1.0,130
28885356903,1.0,130
28885391999,1.0,130
28885356959,1.0,130
28885397141,1.0,129
28885347533,1.0,128
28885345674,1.0,127
28885416917,1.0,125
28885488485,1.0,124
28885346674,1.0,123
28885387858,1.0,123
28885372556,1.0,123
28885397258,1.0,122
28885424815,1.0,122
28885379323,1.0,122
28885411435,1.0,121
28885378973,1.0,121
28885354879,1.0,121
28885366376,1.0,120
28885354698,1.0,120
28885346145,1.0,120
28885352194,1.0,120
28885618640,1.0,120
28885360137,1.0,120
28885610761,1.0,120
28885692270,1.0,119
28885351492,1.0,119
28885357830,1.0,118
28885375187,1.0,118
28885390651,1.0,117
28885359004,1.0,116
28885357976,1.0,116
28885492671,1.0,115
28885356418,1.0,114
28885451882,1.0,114
28885437672,1.0,113
28885386144,1.0,113
28885363843,1.0,113
28885349688,1.0,112
28885356953,1.0,111
28885377317,1.0,111
28885354005,1.0,111
28885359512,1.0,110
28885350179,1.0,110
28885350837,1.0,110
28885410985,1.0,110
28885357433,1.0,110
28885394090,1.0,109
28885389647,1.0,109
28885355944,1.0,109
28885483351,1.0,109
28885439125,1.0,109
28885365432,1.0,108
28885455591,1.0,108
28885483324,1.0,108
28885347845,1.0,108
28885745559,1.0,108
28885382471,1.0,108
28885357802,1.0,107
28885354249,1.0,107
28885370277,1.0,106
28885517495,1.0,106
28885356533,1.0,106
28885349430,1.0,106
28885356793,1.0,105
28885350009,1.0,105
28885582691,1.0,105
28885460953,1.0,105
28885362958,1.0,104
28885351393,1.0,104
28885440294,1.0,104
28885438098,1.0,104
28885351898,1.0,104
28885355880,1.0,103
28885351989,1.0,103
28885390386,1.0,103
28885349184,1.0,103
28885354977,1.0,103
28885383954,1.0,103
28885354474,1.0,102
28885419270,1.0,102
28885435503,1.0,102
28885433725,1.0,102
28885348770,1.0,101
28885386962,1.0,101
28885535109,1.0,100
28885357160,1.0,100
28885375007,1.0,100
28886932012,1.0,99
28885430714,1.0,99
28885352163,1.0,98
28885374592,1.0,98
28885392365,1.0,98
28885434321,1.0,98
28885349422,1.0,97
28885355418,1.0,97
28885375292,1.0,97
28885429638,1.0,96
28885373500,1.0,96
28885357882,1.0,96
28885368791,1.0,96
28885389075,1.0,96
28885390527,1.0,96
28885359109,1.0,96
28885355303,1.0,96
28885391334,1.0,95
28885365833,1.0,95
28885370943,1.0,95
28885350328,1.0,95
28885531283,1.0,95
28885351741,1.0,95
28885388532,1.0,95
28885366637,1.0,95
28885365112,1.0,94
28885351208,1.0,94
28885374637,1.0,94
28885390582,1.0,93
28885365309,1.0,93
28885401942,1.0,93
28885417690,1.0,93
28885358789,1.0,93
28885373405,1.0,93
28885427528,1.0,93
28885344724,1.0,92
28885389116,1.0,92
28885488449,1.0,92
28885403594,1.0,92
28885392485,1.0,92
28885346255,1.0,92
28885395231,1.0,91
28885350737,1.0,91
28885474348,1.0,91
28885439482,1.0,91
28885386228,1.0,91
28885381833,1.0,91
28885408295,1.0,90
28885434519,1.0,90
28885345657,1.0,90
28885606914,1.0,90
28885348545,1.0,90
28885373622,1.0,90
28885350323,1.0,89
28885405579,1.0,89
28885355844,1.0,89
28885356281,1.0,89
28885356257,1.0,89
28885346934,1.0,89
28885364557,1.0,88
28885369714,1.0,88
28885502307,1.0,88
28885346885,1.0,88
28885538972,1.0,88
28885454971,1.0,88
28885414761,1.0,88
28885348233,1.0,88
28885506181,1.0,88
28885355570,1.0,87
28885354927,1.0,87
28885357662,1.0,87
28885443397,1.0,87
28885349063,1.0,87
28885348654,1.0,87
28885373686,1.0,87
28885373343,1.0,87
28885409543,1.0,87
28885433892,1.0,87
28885597222,1.0,87
28885350560,1.0,87
28885345575,1.0,87
28885374871,1.0,87
28885372423,1.0,86
28885372603,1.0,86
28885362134,1.0,86
28885361424,1.0,86
28885456800,1.0,86
28885440086,1.0,86
28885361134,1.0,86
28885574622,1.0,86
28885354244,1.0,86
28885418063,1.0,86
28885358912,1.0,85
28885379767,1.0,85
28885367362,1.0,85
28885354666,1.0,85
28885526865,1.0,85
28885449774,1.0,84
28885462340,1.0,84
28885372667,1.0,84
28885643031,1.0,84
28885356119,1.0,84
28885370860,1.0,84
28885371329,1.0,84
28885466490,1.0,84
28885376769,1.0,83
28885375126,1.0,83
28886577418,1.0,83
28885468343,1.0,83
28885356512,1.0,83
28885498572,1.0,83
28885385110,1.0,83
28885390201,1.0,83
28885550831,1.0,83
28885381442,1.0,82
28885452937,1.0,82
28885353404,1.0,82
28885355077,1.0,82
28885353745,1.0,82
28885348211,1.0,82
28885345713,1.0,82
28885353119,1.0,82
28885538112,1.0,82
28885355725,1.0,82
28885390641,1.0,81
28885786028,1.0,81
28885406421,1.0,81
28885365965,1.0,81
28885347612,1.0,81
28885359191,1.0,81
28885358130,1.0,81
28885403723,1.0,81
28885367979,1.0,80
28885529511,1.0,80
28885378674,1.0,80
28885372741,1.0,80
28885390184,1.0,80
28885358139,1.0,79
28885372536,1.0,79
28885355458,1.0,79
28885374733,1.0,79
28885531071,1.0,79
28885443007,1.0,79
28885376192,1.0,79
28885357424,1.0,79
28885626676,1.0,79
28885371560,1.0,78
28885353286,1.0,78
28885530578,1.0,78
28885418526,1.0,78
28885354124,1.0,78
28885357090,1.0,78
28885372439,1.0,78
28885372561,1.0,78
28885348964,1.0,78
28885538785,1.0,77
28885354012,1.0,77
28885349782,1.0,77
28885415933,1.0,77
28885356230,1.0,77
28885451257,1.0,77
28885370562,1.0,77
28885362213,1.0,77
28885347617,1.0,77
